t(secs),mass_residual
0.05205,0.99992
0.0522,0.999918
0.05235,0.999915
0.0525,0.999912
0.05265,0.99991
0.0528,0.999907
0.05295,0.999904
0.0531,0.999902
0.05325,0.999899
0.0534,0.999896
0.05355,0.999894
0.0537,0.99989
0.05385,0.999887
0.054,0.999883
0.05415,0.99988
0.0543,0.999877
0.05445,0.999873
0.0546,0.999869
0.05475,0.999866
0.0549,0.999863
0.05505,0.999858
0.0552,0.999855
0.05535,0.999851
0.0555,0.999847
0.05565,0.999843
0.0558,0.999838
0.05595,0.999833
0.0561,0.999829
0.05625,0.999825
0.0564,0.99982
0.05655,0.999815
0.0567,0.999811
0.05685,0.999807
0.057,0.999801
0.05715,0.999795
0.0573,0.99979
0.05745,0.999785
0.0576,0.999779
0.05775,0.999774
0.0579,0.999768
0.05805,0.999762
0.0582,0.999756
0.05835,0.99975
0.0585,0.999744
0.05865,0.999737
0.0588,0.999731
0.05895,0.999724
0.0591,0.999717
0.05925,0.999711
0.0594,0.999704
0.05955,0.999697
0.0597,0.999689
0.05985,0.999681
0.06,0.999674
0.06015,0.999666
0.0603,0.999659
0.06045,0.999651
0.0606,0.999642
0.06075,0.999634
0.0609,0.999626
0.06105,0.999617
0.0612,0.999608
0.06135,0.9996
0.0615,0.999591
0.06165,0.999581
0.0618,0.999572
0.06195,0.999562
0.0621,0.999553
0.06225,0.999543
0.0624,0.999532
0.06255,0.999523
0.0627,0.999511
0.06285,0.999501
0.063,0.999491
0.06315,0.99948
0.0633,0.999468
0.06345,0.999456
0.0636,0.999445
0.06375,0.999433
0.0639,0.999421
0.06405,0.999409
0.0642,0.999397
0.06435,0.999384
0.0645,0.999371
0.06465,0.999358
0.0648,0.999345
0.06495,0.999332
0.0651,0.999318
0.06525,0.999304
0.0654,0.99929
0.06555,0.999276
0.0657,0.999262
0.06585,0.999247
0.066,0.999232
0.06615,0.999217
0.0663,0.999201
0.06645,0.999185
0.0666,0.999169
0.06675,0.999153
0.0669,0.999138
0.06705,0.99912
0.0672,0.999105
0.06735,0.999087
0.0675,0.999069
0.06765,0.999052
0.0678,0.999033
0.06795,0.999015
0.0681,0.998997
0.06825,0.998978
0.0684,0.998959
0.06855,0.99894
0.0687,0.99892
0.06885,0.998901
0.069,0.998881
0.06915,0.998861
0.0693,0.99884
0.06945,0.99882
0.0696,0.998798
0.06975,0.998777
0.0699,0.998755
0.07005,0.998733
0.0702,0.998711
0.07035,0.998688
0.0705,0.998665
0.07065,0.998642
0.0708,0.998618
0.07095,0.998594
0.0711,0.99857
0.07125,0.998545
0.0714,0.998521
0.07155,0.998495
0.0717,0.99847
0.07185,0.998444
0.072,0.998418
0.07215,0.998391
0.0723,0.998365
0.07245,0.998337
0.0726,0.998309
0.07275,0.998282
0.0729,0.998253
0.07305,0.998225
0.0732,0.998196
0.07335,0.998166
0.0735,0.998136
0.07365,0.998106
0.0738,0.998075
0.07395,0.998044
0.0741,0.998013
0.07425,0.99798
0.0744,0.997948
0.07455,0.997915
0.0747,0.997881
0.07485,0.997847
0.075,0.997813
0.07515,0.997778
0.0753,0.997743
0.07545,0.997707
0.0756,0.99767
0.07575,0.997633
0.0759,0.997596
0.07605,0.997558
0.0762,0.997521
0.07635,0.99748
0.0765,0.997441
0.07665,0.997402
0.0768,0.997362
0.07695,0.997322
0.0771,0.99728
0.07725,0.997238
0.0774,0.997198
0.07755,0.997156
0.0777,0.997112
0.07785,0.997069
0.078,0.997026
0.07815,0.996982
0.0783,0.996937
0.07845,0.996893
0.0786,0.996848
0.07875,0.996802
0.0789,0.996756
0.07905,0.99671
0.0792,0.996662
0.07935,0.996615
0.0795,0.996567
0.07965,0.996519
0.0798,0.99647
0.07995,0.996422
0.0801,0.996373
0.08025,0.996323
0.0804,0.996274
0.08055,0.996224
0.0807,0.996174
0.08085,0.996124
0.081,0.996074
0.08115,0.996023
0.0813,0.995973
